"Longitude","Latitude","Crop.Flw.M..lb.s.","GPSTime","Cycle Period","Distance.in.","Swth.Wdth.in.","Moisture...","Pass.Num","Field","Product","Elevation.ft."
-89.70680849,43.35107462,0.601,0,1,27.96,120,15.5,1,3600,"Corn",863.19
-89.70679946,43.35107512,2.687,0,1,28.932,120,15.5,1,3600,"Corn",863.19
-89.70678891,43.35107562,8.81,0,1,33.72,240,15.5,1,3600,"Corn",863.19
-89.70677539,43.35107603,11.96,0,1,42.792,240,15.5,1,3600,"Corn",863.19
-89.7067622,43.35107643,14.96,0,1,42.324,240,15.5,1,3600,"Corn",862.86
-89.70674905,43.35107673,15.93,0,1,41.676,240,15.5,1,3600,"Corn",862.86
-89.70673615,43.35107703,20.04,0,1,41.22,240,15.5,1,3600,"Corn",862.86
-89.7067234,43.35107723,21.49,0,1,40.608,240,15.5,1,3600,"Corn",862.86
-89.7067101,43.35107723,22.36,0,1,41.688,240,15.5,1,3600,"Corn",862.86
-89.70669674,43.35107753,20.18,0,1,43.308,240,15.5,1,3600,"Corn",862.86
-89.7066838,43.35107753,22.84,0,1,40.632,240,15.5,1,3600,"Corn",862.2
-89.70667024,43.35107783,19.68,0,1,43.824,240,15.5,1,3600,"Corn",862.2
-89.70665685,43.35107813,20.5,0,1,42.828,240,15.5,1,3600,"Corn",862.2
-89.70664355,43.35107823,21.25,0,1,42.204,240,8.56,1,3600,"Corn",862.2
-89.70663035,43.35107853,23.42,0,1,42.264,240,13,1,3600,"Corn",862.2
-89.7066174,43.35107873,24.19,0,1,41.136,240,16.88,1,3600,"Corn",862.2
-89.7066046,43.35107913,24.82,0,1,41.136,240,21.26,1,3600,"Corn",862.2
-89.70659129,43.35107953,24.42,0,1,42.24,240,24.82,1,3600,"Corn",862.2
-89.70657785,43.35107983,24.83,0,1,42.756,240,26.85,1,3600,"Corn",861.88
-89.70656475,43.35108013,21.73,0,1,41.724,240,27.43,1,3600,"Corn",861.88
-89.70655135,43.35108043,23.39,0,1,42.828,240,27.74,1,3600,"Corn",861.88
-89.7065383,43.35108083,21.99,0,1,41.676,240,27.17,1,3600,"Corn",861.88
-89.70652505,43.35108093,22.8,0,1,42.204,240,23.55,1,3600,"Corn",861.88
-89.706512,43.35108133,23.02,0,1,41.7,240,23.23,1,3600,"Corn",861.55
-89.7064988,43.35108153,24.47,0,1,41.676,240,24.5,1,3600,"Corn",861.55
-89.70648495,43.35108163,25.22,0,1,44.34,240,24.57,1,3600,"Corn",861.55
-89.70647115,43.35108173,24.62,0,1,43.86,240,23.39,1,3600,"Corn",861.55
-89.7064575,43.35108173,24.01,0,1,43.308,240,24.59,1,3600,"Corn",861.22
-89.70644365,43.35108183,26.51,0,1,44.388,240,25.23,1,3600,"Corn",861.22
-89.7064293,43.35108183,25.21,0,1,45.42,240,23.89,1,3600,"Corn",861.22
-89.70641466,43.35108173,25.68,0,1,47.016,240,22.98,1,3600,"Corn",861.22
-89.70639994,43.35108183,24.44,0,1,47.016,240,24.19,1,3600,"Corn",861.22
-89.70638524,43.35108193,26.27,0,1,47.016,240,24.97,1,3600,"Corn",861.22
-89.70637054,43.35108203,24.31,0,1,46.512,240,23.7,1,3600,"Corn",860.56
-89.70635603,43.35108233,26.98,0,1,46.488,240,24.02,1,3600,"Corn",860.56
-89.70634169,43.35108253,26.22,0,1,45.948,240,24.85,1,3600,"Corn",860.56
-89.70632706,43.35108312,23.84,0,1,47.088,240,23.07,1,3600,"Corn",860.56
-89.70631207,43.35108353,24.21,0,1,47.556,240,24.4,1,3600,"Corn",860.56
-89.70629648,43.35108373,26.41,0,1,49.164,240,25.04,1,3600,"Corn",860.56
-89.70628123,43.35108403,27.31,0,1,48.684,240,23.89,1,3600,"Corn",860.56
-89.70626568,43.35108423,27.29,0,1,49.68,240,22.5,1,3600,"Corn",860.24
-89.70625033,43.35108453,30.68,0,1,49.164,240,23.07,1,3600,"Corn",860.24
-89.70623464,43.35108463,33.92,0,1,49.692,240,23.83,1,3600,"Corn",860.24
-89.70621898,43.35108483,29.34,0,1,50.244,240,22.81,1,3600,"Corn",860.24
-89.70620354,43.35108493,28.02,0,1,48.624,240,22.88,1,3600,"Corn",859.91
-89.70618808,43.35108513,28.47,0,1,49.716,240,23.64,1,3600,"Corn",859.91
-89.70617273,43.35108543,26.43,0,1,49.152,240,24.91,1,3600,"Corn",859.91
-89.70615733,43.35108573,27.28,0,1,49.176,240,23.96,1,3600,"Corn",859.91
-89.70614178,43.35108593,28.44,0,1,49.152,240,22.81,1,3600,"Corn",859.91
-89.70612377,43.35108613,27.61,0,1,57.18,240,24.02,1,3600,"Corn",859.91
-89.70610299,43.35108673,30.71,0,1,66.852,240,24.59,1,3600,"Corn",859.91
-89.70608256,43.35108723,29.79,0,1,65.196,240,24.09,1,3600,"Corn",859.58
-89.70606108,43.35108783,33.76,0,1,68.412,240,23.2,1,3600,"Corn",859.58
-89.70603941,43.35108853,34.09,0,1,68.988,240,23.01,1,3600,"Corn",859.58
-89.70601849,43.35108883,39.65,0,1,66.792,240,24.21,1,3600,"Corn",858.92
-89.70599779,43.35108913,39.09,0,1,65.748,240,24.09,1,3600,"Corn",858.92
-89.70597682,43.35108953,38.23,0,1,66.804,240,22.88,1,3600,"Corn",858.92
-89.70595569,43.35108983,39.84,0,1,67.32,240,23.01,1,3600,"Corn",858.6
-89.70593486,43.35109003,40.77,0,1,66.264,240,24.09,1,3600,"Corn",858.6
-89.70591389,43.35109033,40.41,0,1,67.332,240,25.48,1,3600,"Corn",858.6
-89.70589312,43.35109073,40.01,0,1,66.252,240,23.51,1,3600,"Corn",858.6
-89.70587226,43.35109123,36.45,0,1,66.276,240,23.2,1,3600,"Corn",858.6
-89.70585093,43.35109133,39.89,0,1,67.848,240,23.32,1,3600,"Corn",858.27
-89.70582949,43.35109163,36.74,0,1,68.436,240,24.66,1,3600,"Corn",858.27
-89.70580823,43.35109173,36.55,0,1,67.32,240,25.23,1,3600,"Corn",858.27
-89.70578722,43.35109213,37.19,0,1,67.344,240,24.34,1,3600,"Corn",858.27
-89.70576612,43.35109253,38.51,0,1,67.344,240,23.45,1,3600,"Corn",857.94
-89.70574556,43.35109273,38.29,0,1,65.184,240,23.07,1,3600,"Corn",857.94
-89.70572637,43.35109293,38.64,0,1,61.476,240,24.53,1,3600,"Corn",857.94
-89.70570717,43.35109313,37.07,0,1,61.44,240,24.66,1,3600,"Corn",857.94
-89.70568747,43.35109333,39.16,0,1,62.52,240,23.13,1,3600,"Corn",857.94
-89.7056675,43.35109333,36.48,0,1,63.576,240,23.51,1,3600,"Corn",857.28
-89.7056476,43.35109333,38.53,0,1,63.048,240,24.91,1,3600,"Corn",857.28
-89.70562773,43.35109343,34.88,0,1,63.588,240,25.17,1,3600,"Corn",857.28
-89.705608,43.35109373,36.13,0,1,63.048,240,23.58,1,3600,"Corn",856.96
-89.70558803,43.35109383,34.56,0,1,63.6,240,23.07,1,3600,"Corn",856.96
